location,list_price (RM),unit_price (RM)/m2,number_bedroom,number_bathroom,area(m2),type,type_encoded,location_encoded
Johor Bahru. Johor,2490900000,10252400.0,4.0,5.0,24293.0,Townhouse,6,5
Johor Bahru. Johor,4332000000,11645860.0,5.0,4.0,372.0,House,3,5
Johor Bahru. Johor,2516170000,82066130.0,1.0,1.0,3066.0,Serviced Apartment,5,5
Johor Bahru. Johor,3591950000,19414580.0,4.0,3.0,185.0,House,3,5
Johor Bahru. Johor,1472880000,640382.6086956522,2.0,4.0,2300.0,House,3,5
Johor Bahru. Johor,1256280000,1184080.0,3.0,1.0,1060.0,Serviced Apartment,5,5
Johor Bahru. Johor,2230980000,9700070.0,4.0,3.0,230.0,House,3,5
Johor Bahru. Johor,1833880000,16981440.0,4.0,4.0,108.0,House,3,5
Johor Bahru. Johor,1480100000,13833520.0,3.0,2.0,107.0,Apartment,0,5
Sepang. Selangor,758100000,108610.31518624643,2.0,1.0,6980.0,Serviced Apartment,5,23
Muar. Johor,1689480000,11808310.0,3.0,2.0,14307.0,House,3,16
Johor Bahru. Johor,1985500000,1418730.0,3.0,4.0,1400.0,House,3,5
Sepang. Selangor,830300000,118954.15472779369,2.0,1.0,6980.0,Serviced Apartment,5,23
Johor,2808580000,877681.25,5.0,5.0,3200.0,House,3,4
Sepang. Selangor,1371800000,11357060.0,5.0,3.0,12077.0,Condo,2,23
Sepang. Selangor,830300000,39710.0,2.0,1.0,21367.0,Condo,2,23
Ulu Langat. Selangor,1083000000,12118770.0,3.0,2.0,8937.0,Condo,2,25
Sepang. Selangor,1083000000,12118770.0,3.0,2.0,8937.0,Condo,2,23
Johor Bahru. Johor,2129900000,13894890.0,4.0,3.0,15328.0,House,3,5
Johor Bahru. Johor,2238200000,18652870.0,4.0,4.0,120.0,House,3,5
Sepang. Selangor,758100000,167129.62962962964,1.0,1.0,4536.0,Condo,2,23
Sepang. Selangor,758100000,167129.62962962964,2.0,1.0,4536.0,Condo,2,23
Sepang. Selangor,830300000,364166.6666666666,1.0,1.0,2280.0,Condo,2,23
Sepang. Selangor,758100000,108610.31518624643,1.0,1.0,6980.0,Serviced Apartment,5,23
Sepang. Selangor,812250000,179067.4603174603,2.0,1.0,4536.0,Condo,2,23
Putrajaya. Putrajaya,758100000,108610.31518624643,2.0,1.0,6980.0,Serviced Apartment,5,21
Johor Bahru. Johor,1010800000,971090.0,4.0,2.0,1040.0,House,3,5
Johor Bahru. Johor,606480000,11869680.0,2.0,1.0,5109.0,Apartment,0,5
Johor,1732800000,963870.0,4.0,4.0,1800.0,House,3,4
Ulu Langat. Selangor,711170000,100632.51733408801,2.0,1.0,7067.0,Condo,2,25
Johor Bahru. Johor,1985500000,11154900.0,3.0,2.0,178.0,House,3,5
Johor Bahru. Johor,2671400000,13699950.0,4.0,4.0,195.0,House,3,5
Johor Bahru. Johor,2122680000,16714300.0,3.0,2.0,127.0,House,3,5
Johor Bahru. Johor,425980000,9259650.0,2.0,1.0,46.0,Apartment,0,5
Johor Bahru. Johor,3422280000,19555370.0,4.0,4.0,175.0,House,3,5
Johor Bahru. Johor,3429500000,12750520.0,4.0,4.0,269.0,House,3,5
Sepang. Selangor,1371800000,11357060.0,4.0,3.0,12077.0,Condo,2,23
Sepang. Selangor,830300000,19862220.0,3.0,2.0,418.0,Condo,2,23
Johor Bahru. Johor,1046900000,21382030.0,1.0,1.0,4896.0,Condo,2,5
Johor Bahru. Johor,2454800000,54550710.0,1.0,1.0,45.0,Condo,2,5
Johor Bahru. Johor,2635300000,18429050.0,3.0,2.0,143.0,House,3,5
Putrajaya. Putrajaya,830300000,19862220.0,2.0,1.0,418.0,Condo,2,21
Johor Bahru. Johor,1841100000,11508680.0,3.0,4.0,160.0,House,3,5
Putrajaya. Putrajaya,830300000,17876720.0,2.0,1.0,4645.0,Condo,2,21
